t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Chronopappus_bifrons,Eremanthus_incanus,Heterocoma_ekmaniana,Hololepis_pedunculata,0.13043478260869565,0.717391304347826,0.15217391304347827,92.0
Chronopappus_bifrons,Eremanthus_incanus,Heterocoma_ekmaniana,Lychnocephalusjolianus,0.11842105263157894,0.8157894736842105,0.06578947368421052,76.0
Chronopappus_bifrons,Eremanthus_incanus,Hololepis_pedunculata,Lychnocephalusjolianus,0.1095890410958904,0.7945205479452054,0.0958904109589041,73.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalusjolianus,0.7123287671232876,0.1780821917808219,0.1095890410958904,73.0
Eremanthus_incanus,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalusjolianus,0.1095890410958904,0.1232876712328767,0.7671232876712328,73.0
Chronopappus_bifrons,Eremanthus_incanus,Heterocoma_ekmaniana,Lychnocephalustomentosus,0.1111111111111111,0.8395061728395061,0.04938271604938271,81.0
Chronopappus_bifrons,Eremanthus_incanus,Hololepis_pedunculata,Lychnocephalustomentosus,0.13924050632911392,0.7848101265822784,0.0759493670886076,79.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalustomentosus,0.7375,0.1375,0.125,80.0
Eremanthus_incanus,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalustomentosus,0.1518987341772152,0.08860759493670886,0.759493670886076,79.0
Chronopappus_bifrons,Eremanthus_incanus,Lychnocephalusjolianus,Lychnocephalustomentosus,0.7605633802816901,0.09859154929577464,0.14084507042253522,71.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Lychnocephalusjolianus,Lychnocephalustomentosus,0.8805970149253731,0.07462686567164178,0.04477611940298507,67.0
Eremanthus_incanus,Heterocoma_ekmaniana,Lychnocephalusjolianus,Lychnocephalustomentosus,0.7571428571428571,0.14285714285714285,0.1,70.0
Chronopappus_bifrons,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnocephalustomentosus,0.8769230769230769,0.046153846153846156,0.07692307692307693,65.0
Eremanthus_incanus,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnocephalustomentosus,0.7794117647058824,0.11764705882352941,0.10294117647058823,68.0
Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnocephalustomentosus,0.8507462686567164,0.05970149253731343,0.08955223880597014,67.0
Chronopappus_bifrons,Eremanthus_incanus,Heterocoma_ekmaniana,Lychnophoraalbertinioides,0.1,0.8444444444444444,0.05555555555555555,90.0
Chronopappus_bifrons,Eremanthus_incanus,Hololepis_pedunculata,Lychnophoraalbertinioides,0.11627906976744186,0.7906976744186046,0.09302325581395349,86.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnophoraalbertinioides,0.7865168539325843,0.10112359550561797,0.11235955056179775,89.0
Eremanthus_incanus,Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnophoraalbertinioides,0.10112359550561797,0.12359550561797752,0.7752808988764045,89.0
Chronopappus_bifrons,Eremanthus_incanus,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.7105263157894737,0.13157894736842105,0.15789473684210525,76.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.9333333333333333,0.04,0.02666666666666667,75.0
Eremanthus_incanus,Heterocoma_ekmaniana,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.6973684210526315,0.18421052631578946,0.11842105263157894,76.0
Chronopappus_bifrons,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.9142857142857143,0.02857142857142857,0.05714285714285714,70.0
Eremanthus_incanus,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.726027397260274,0.1506849315068493,0.1232876712328767,73.0
Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalusjolianus,Lychnophoraalbertinioides,0.863013698630137,0.0273972602739726,0.1095890410958904,73.0
Chronopappus_bifrons,Eremanthus_incanus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.7125,0.1625,0.125,80.0
Chronopappus_bifrons,Heterocoma_ekmaniana,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.9625,0.025,0.0125,80.0
Eremanthus_incanus,Heterocoma_ekmaniana,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.7088607594936709,0.13924050632911392,0.1518987341772152,79.0
Chronopappus_bifrons,Hololepis_pedunculata,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.9210526315789473,0.039473684210526314,0.039473684210526314,76.0
Eremanthus_incanus,Hololepis_pedunculata,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.7012987012987013,0.12987012987012986,0.16883116883116883,77.0
Heterocoma_ekmaniana,Hololepis_pedunculata,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.8860759493670886,0.02531645569620253,0.08860759493670886,79.0
Chronopappus_bifrons,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.17142857142857143,0.24285714285714285,0.5857142857142857,70.0
Eremanthus_incanus,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.1917808219178082,0.273972602739726,0.5342465753424658,73.0
Heterocoma_ekmaniana,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.1527777777777778,0.2638888888888889,0.5833333333333334,72.0
Hololepis_pedunculata,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.14925373134328357,0.26865671641791045,0.582089552238806,67.0
