H number,basal,cauliflorus
H0,797.8449673,basal
H1,688.5765223,basal
H2,666.6908894,basal
H3,618.5401183,basal
H4,592.5718131,basal
H5,592.5387481,basal
H6,592.5052313,basal
H7,592.4678634,basal
H8,592.434764,basal
H0,2210.057266,cauliflorus
H1,1946.050158,cauliflorus
H2,1811.386145,cauliflorus
H3,1768.300389,cauliflorus
H4,1767.594419,cauliflorus
H5,1767.523279,cauliflorus
H6,1767.521598,cauliflorus
H7,1767.519166,cauliflorus
H8,1767.510893,cauliflorus
H0,1145.019812,eremanthus
H1,663.7656184,eremanthus
H2,642.6213258,eremanthus
H3,626.7222844,eremanthus
H4,624.1140861,eremanthus
H5,612.1468066,eremanthus
H6,0,eremanthus
H7,0,eremanthus
H8,609.4501583,eremanthus
H0,1526.900959,lychnocephalus
H1,1394.022012,lychnocephalus
H2,1359.993527,lychnocephalus
H3,1315.470474,lychnocephalus
H4,1315.470472,lychnocephalus
H5,1315.47047,lychnocephalus
H6,1315.47047,lychnocephalus
H7,1315.47047,lychnocephalus
H8,1315.47047,lychnocephalus
H0,1716.177549,mixed
H1,1498.617764,mixed
H2,1492.036409,mixed
H3,1492.035412,mixed
H4,1492.035378,mixed
H5,1492.035377,mixed
H6,1492.035376,mixed
H7,1492.035376,mixed
H8,1492.035376,mixed
H0,1831.039588,piptolepis
H1,1673.959087,piptolepis
H2,1670.167459,piptolepis
H3,1669.926003,piptolepis
H4,1669.770104,piptolepis
H5,1669.71504,piptolepis
H6,1669.70801,piptolepis
H7,1669.475346,piptolepis
H8,1593.269492,piptolepis
H0,926.3458625,penninervia
H1,580.2002196,penninervia
H2,530.9619086,penninervia
H3,530.9619086,penninervia
H4,523.2747048,penninervia
H5,0,penninervia
H6,533.9366598,penninervia
H7,532.1174926,penninervia
H8,532.1152487,penninervia
