t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophora_hatschbachii,0.3541666666666667,0.3958333333333333,0.25,48.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,0.38461538461538464,0.4230769230769231,0.19230769230769232,52.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,0.6,0.2727272727272727,0.12727272727272726,55.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,0.5849056603773585,0.24528301886792453,0.16981132075471697,53.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,0.5526315789473685,0.2236842105263158,0.2236842105263158,76.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophorasouzae,0.38095238095238093,0.35714285714285715,0.2619047619047619,42.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophorasouzae,0.75,0.06818181818181818,0.18181818181818182,44.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophorasouzae,0.6956521739130435,0.13043478260869565,0.17391304347826086,46.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophorasouzae,0.7419354838709677,0.12903225806451613,0.12903225806451613,62.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophoraalbertinioides,Lychnophorasouzae,0.5909090909090909,0.11363636363636363,0.29545454545454547,44.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophoraalbertinioides,Lychnophorasouzae,0.5217391304347826,0.21739130434782608,0.2608695652173913,46.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,Lychnophorasouzae,0.5714285714285714,0.25396825396825395,0.1746031746031746,63.0
Lychnocephaluscipoensis,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Lychnophorasouzae,0.09803921568627451,0.6862745098039216,0.21568627450980393,51.0
Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Lychnophorasouzae,0.1323529411764706,0.6911764705882353,0.17647058823529413,68.0
Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Lychnophorasouzae,0.13513513513513514,0.6351351351351351,0.22972972972972974,74.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnocephalustomentosus,Minasiaalpestris,0.3673469387755102,0.3877551020408163,0.24489795918367346,49.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophora_hatschbachii,Minasiaalpestris,0.5294117647058824,0.23529411764705882,0.23529411764705882,51.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophora_hatschbachii,Minasiaalpestris,0.56,0.22,0.22,50.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophora_hatschbachii,Minasiaalpestris,0.4782608695652174,0.2463768115942029,0.2753623188405797,69.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophoraalbertinioides,Minasiaalpestris,0.5849056603773585,0.16981132075471697,0.24528301886792453,53.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophoraalbertinioides,Minasiaalpestris,0.6,0.22,0.18,50.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,Minasiaalpestris,0.4861111111111111,0.2638888888888889,0.25,72.0
Lychnocephaluscipoensis,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Minasiaalpestris,0.2857142857142857,0.32142857142857145,0.39285714285714285,56.0
Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Minasiaalpestris,0.3,0.3875,0.3125,80.0
Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Minasiaalpestris,0.3375,0.3,0.3625,80.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophorasouzae,Minasiaalpestris,0.5952380952380952,0.23809523809523808,0.16666666666666666,42.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophorasouzae,Minasiaalpestris,0.6097560975609756,0.1951219512195122,0.1951219512195122,41.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophorasouzae,Minasiaalpestris,0.55,0.2,0.25,60.0
Lychnocephaluscipoensis,Lychnophora_hatschbachii,Lychnophorasouzae,Minasiaalpestris,0.10869565217391304,0.2608695652173913,0.6304347826086957,46.0
Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophorasouzae,Minasiaalpestris,0.16923076923076924,0.2,0.6307692307692307,65.0
Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophorasouzae,Minasiaalpestris,0.16417910447761194,0.23880597014925373,0.5970149253731343,67.0
Lychnocephaluscipoensis,Lychnophoraalbertinioides,Lychnophorasouzae,Minasiaalpestris,0.3333333333333333,0.35555555555555557,0.3111111111111111,45.0
Lychnocephalusjolianus,Lychnophoraalbertinioides,Lychnophorasouzae,Minasiaalpestris,0.421875,0.265625,0.3125,64.0
Lychnocephalustomentosus,Lychnophoraalbertinioides,Lychnophorasouzae,Minasiaalpestris,0.29850746268656714,0.3880597014925373,0.31343283582089554,67.0
Lychnophora_hatschbachii,Lychnophoraalbertinioides,Lychnophorasouzae,Minasiaalpestris,0.17105263157894737,0.6973684210526315,0.13157894736842105,76.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnocephalustomentosus,Piptolepisgardneri,0.38461538461538464,0.48717948717948717,0.1282051282051282,39.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophora_hatschbachii,Piptolepisgardneri,0.5909090909090909,0.25,0.1590909090909091,44.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophora_hatschbachii,Piptolepisgardneri,0.5909090909090909,0.25,0.1590909090909091,44.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophora_hatschbachii,Piptolepisgardneri,0.5483870967741935,0.24193548387096775,0.20967741935483872,62.0
Lychnocephaluscipoensis,Lychnocephalusjolianus,Lychnophoraalbertinioides,Piptolepisgardneri,0.5434782608695652,0.1956521739130435,0.2608695652173913,46.0
Lychnocephaluscipoensis,Lychnocephalustomentosus,Lychnophoraalbertinioides,Piptolepisgardneri,0.5581395348837209,0.20930232558139536,0.23255813953488372,43.0
Lychnocephalusjolianus,Lychnocephalustomentosus,Lychnophoraalbertinioides,Piptolepisgardneri,0.515625,0.21875,0.265625,64.0
Lychnocephaluscipoensis,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Piptolepisgardneri,0.29411764705882354,0.39215686274509803,0.3137254901960784,51.0
Lychnocephalusjolianus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Piptolepisgardneri,0.2876712328767123,0.4657534246575342,0.2465753424657534,73.0
Lychnocephalustomentosus,Lychnophora_hatschbachii,Lychnophoraalbertinioides,Piptolepisgardneri,0.36619718309859156,0.352112676056338,0.28169014084507044,71.0
