t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,0.25,0.27631578947368424,0.47368421052631576,76.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophorellaregis,0.14285714285714285,0.26785714285714285,0.5892857142857143,56.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,0.41935483870967744,0.3548387096774194,0.22580645161290322,62.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,0.41379310344827586,0.3103448275862069,0.27586206896551724,58.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,0.5357142857142857,0.23214285714285715,0.23214285714285715,56.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepisbuxoides,0.2833333333333333,0.23333333333333334,0.48333333333333334,60.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,0.34782608695652173,0.34782608695652173,0.30434782608695654,69.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,0.26229508196721313,0.4098360655737705,0.32786885245901637,61.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,0.4444444444444444,0.3333333333333333,0.2222222222222222,63.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophorellaregis,Piptolepisbuxoides,0.36538461538461536,0.34615384615384615,0.28846153846153844,52.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisbuxoides,0.32653061224489793,0.4897959183673469,0.1836734693877551,49.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisbuxoides,0.5098039215686274,0.3333333333333333,0.1568627450980392,51.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisbuxoides,0.33962264150943394,0.22641509433962265,0.4339622641509434,53.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisbuxoides,0.25,0.32142857142857145,0.42857142857142855,56.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisbuxoides,0.28,0.14,0.58,50.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepiscampestris,0.30158730158730157,0.20634920634920634,0.49206349206349204,63.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,0.3698630136986301,0.3287671232876712,0.3013698630136986,73.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,0.25396825396825395,0.4126984126984127,0.3333333333333333,63.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,0.4090909090909091,0.3484848484848485,0.24242424242424243,66.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophorellaregis,Piptolepiscampestris,0.45098039215686275,0.27450980392156865,0.27450980392156865,51.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepiscampestris,0.37777777777777777,0.4666666666666667,0.15555555555555556,45.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepiscampestris,0.5306122448979592,0.3469387755102041,0.12244897959183673,49.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepiscampestris,0.36,0.22,0.42,50.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepiscampestris,0.3333333333333333,0.2962962962962963,0.37037037037037035,54.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepiscampestris,0.3829787234042553,0.10638297872340426,0.5106382978723404,47.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Piptolepisbuxoides,Piptolepiscampestris,0.7288135593220338,0.1016949152542373,0.1694915254237288,59.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Piptolepisbuxoides,Piptolepiscampestris,0.6730769230769231,0.19230769230769232,0.1346153846153846,52.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepisbuxoides,Piptolepiscampestris,0.7454545454545455,0.12727272727272726,0.12727272727272726,55.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepiscampestris,0.7288135593220338,0.0847457627118644,0.1864406779661017,59.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepiscampestris,0.71875,0.09375,0.1875,64.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepiscampestris,0.6964285714285714,0.14285714285714285,0.16071428571428573,56.0
Eremanthus_elaeagnus_E2875,Lychnophorellaregis,Piptolepisbuxoides,Piptolepiscampestris,0.7272727272727273,0.1590909090909091,0.11363636363636363,44.0
Eremanthus_incanus,Lychnophorellaregis,Piptolepisbuxoides,Piptolepiscampestris,0.660377358490566,0.18867924528301888,0.1509433962264151,53.0
Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisbuxoides,Piptolepiscampestris,0.6590909090909091,0.20454545454545456,0.13636363636363635,44.0
Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisbuxoides,Piptolepiscampestris,0.7959183673469388,0.14285714285714285,0.061224489795918366,49.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepisoleaster,0.30303030303030304,0.21212121212121213,0.48484848484848486,66.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepisoleaster,0.36,0.36,0.28,75.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisoleaster,0.27941176470588236,0.38235294117647056,0.3382352941176471,68.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisoleaster,0.4626865671641791,0.34328358208955223,0.19402985074626866,67.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophorellaregis,Piptolepisoleaster,0.36538461538461536,0.3076923076923077,0.3269230769230769,52.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisoleaster,0.30612244897959184,0.42857142857142855,0.2653061224489796,49.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisoleaster,0.46938775510204084,0.3469387755102041,0.1836734693877551,49.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisoleaster,0.32075471698113206,0.22641509433962265,0.4528301886792453,53.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisoleaster,0.2830188679245283,0.3018867924528302,0.41509433962264153,53.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisoleaster,0.28,0.22,0.5,50.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Piptolepisbuxoides,Piptolepisoleaster,0.7719298245614035,0.05263157894736842,0.17543859649122806,57.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Piptolepisbuxoides,Piptolepisoleaster,0.76,0.1,0.14,50.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepisbuxoides,Piptolepisoleaster,0.7735849056603774,0.1320754716981132,0.09433962264150944,53.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepisoleaster,0.7192982456140351,0.10526315789473684,0.17543859649122806,57.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepisoleaster,0.75,0.15,0.1,60.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepisbuxoides,Piptolepisoleaster,0.7358490566037735,0.1509433962264151,0.11320754716981132,53.0
Eremanthus_elaeagnus_E2875,Lychnophorellaregis,Piptolepisbuxoides,Piptolepisoleaster,0.775,0.05,0.175,40.0
Eremanthus_incanus,Lychnophorellaregis,Piptolepisbuxoides,Piptolepisoleaster,0.673469387755102,0.14285714285714285,0.1836734693877551,49.0
Eremanthus_reticulatus_E2876,Lychnophorellaregis,Piptolepisbuxoides,Piptolepisoleaster,0.7142857142857143,0.11904761904761904,0.16666666666666666,42.0
Eremanthus_veadeiroensis_E2872,Lychnophorellaregis,Piptolepisbuxoides,Piptolepisoleaster,0.7777777777777778,0.1111111111111111,0.1111111111111111,45.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Piptolepiscampestris,Piptolepisoleaster,0.6956521739130435,0.11594202898550725,0.18840579710144928,69.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Piptolepiscampestris,Piptolepisoleaster,0.6206896551724138,0.15517241379310345,0.22413793103448276,58.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Piptolepiscampestris,Piptolepisoleaster,0.7903225806451613,0.11290322580645161,0.0967741935483871,62.0
Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,Piptolepisoleaster,0.7205882352941176,0.10294117647058823,0.17647058823529413,68.0
Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,Piptolepisoleaster,0.6811594202898551,0.18840579710144928,0.13043478260869565,69.0
Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Piptolepiscampestris,Piptolepisoleaster,0.7,0.16666666666666666,0.13333333333333333,60.0
Eremanthus_elaeagnus_E2875,Lychnophorellaregis,Piptolepiscampestris,Piptolepisoleaster,0.717391304347826,0.043478260869565216,0.2391304347826087,46.0
Eremanthus_incanus,Lychnophorellaregis,Piptolepiscampestris,Piptolepisoleaster,0.6363636363636364,0.10909090909090909,0.2545454545454545,55.0
