t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.425,0.4,0.175,80.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,0.25,0.5,0.25,92.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,0.25609756097560976,0.4024390243902439,0.34146341463414637,82.0
Eremanthus_auriculatus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,0.3132530120481928,0.20481927710843373,0.4819277108433735,83.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,0.2,0.25,0.55,80.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophora_mellosilvae,0.29347826086956524,0.44565217391304346,0.2608695652173913,92.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophora_mellosilvae,0.26582278481012656,0.4050632911392405,0.3291139240506329,79.0
Eremanthus_auriculatus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophora_mellosilvae,0.3333333333333333,0.23809523809523808,0.42857142857142855,84.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophora_mellosilvae,0.16216216216216217,0.2972972972972973,0.5405405405405406,74.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.5591397849462365,0.17204301075268819,0.26881720430107525,93.0
Eremanthus_auriculatus,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.5833333333333334,0.22916666666666666,0.1875,96.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.4883720930232558,0.313953488372093,0.19767441860465115,86.0
Eremanthus_auriculatus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.5802469135802469,0.2345679012345679,0.18518518518518517,81.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.5263157894736842,0.3026315789473684,0.17105263157894737,76.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_mellosilvae,0.6883116883116883,0.14285714285714285,0.16883116883116883,77.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophora_santosii,0.27956989247311825,0.4946236559139785,0.22580645161290322,93.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophora_santosii,0.275,0.3875,0.3375,80.0
Eremanthus_auriculatus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophora_santosii,0.38372093023255816,0.18604651162790697,0.43023255813953487,86.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,Lychnophora_santosii,0.18421052631578946,0.27631578947368424,0.5394736842105263,76.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.5,0.23404255319148937,0.26595744680851063,94.0
Eremanthus_auriculatus,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.58,0.22,0.2,100.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.43333333333333335,0.28888888888888886,0.2777777777777778,90.0
Eremanthus_auriculatus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.5232558139534884,0.27906976744186046,0.19767441860465115,86.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.4430379746835443,0.34177215189873417,0.21518987341772153,79.0
Eremanthus_incanus,Eremanthus_reticulatus_E2876,Eremanthus_veadeiroensis_E2872,Lychnophora_santosii,0.5875,0.2,0.2125,80.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Lychnophora_mellosilvae,Lychnophora_santosii,0.6304347826086957,0.21739130434782608,0.15217391304347827,92.0
Eremanthus_auriculatus,Eremanthus_incanus,Lychnophora_mellosilvae,Lychnophora_santosii,0.7522123893805309,0.09734513274336283,0.1504424778761062,113.0
Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Lychnophora_mellosilvae,Lychnophora_santosii,0.5730337078651685,0.15730337078651685,0.2696629213483146,89.0
Eremanthus_auriculatus,Eremanthus_reticulatus_E2876,Lychnophora_mellosilvae,Lychnophora_santosii,0.6823529411764706,0.15294117647058825,0.16470588235294117,85.0
Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Lychnophora_mellosilvae,Lychnophora_santosii,0.631578947368421,0.15789473684210525,0.21052631578947367,76.0
