t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisgardneri,0.35714285714285715,0.23214285714285715,0.4107142857142857,56.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisimbricata,0.36363636363636365,0.21818181818181817,0.41818181818181815,55.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisgardneri,Piptolepisimbricata,0.43636363636363634,0.23636363636363636,0.32727272727272727,55.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisimbricata,0.3695652173913043,0.2826086956521739,0.34782608695652173,46.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisimbricata,0.4426229508196721,0.26229508196721313,0.29508196721311475,61.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisleptospermoides,0.2857142857142857,0.2857142857142857,0.42857142857142855,63.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisgardneri,Piptolepisleptospermoides,0.3333333333333333,0.4,0.26666666666666666,60.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisleptospermoides,0.2916666666666667,0.2916666666666667,0.4166666666666667,48.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisleptospermoides,0.3787878787878788,0.2727272727272727,0.3484848484848485,66.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisimbricata,Piptolepisleptospermoides,0.49206349206349204,0.30158730158730157,0.20634920634920634,63.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisimbricata,Piptolepisleptospermoides,0.4489795918367347,0.24489795918367346,0.30612244897959184,49.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisimbricata,Piptolepisleptospermoides,0.5846153846153846,0.2153846153846154,0.2,65.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepisimbricata,Piptolepisleptospermoides,0.3333333333333333,0.27450980392156865,0.39215686274509803,51.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepisleptospermoides,0.43283582089552236,0.23880597014925373,0.3283582089552239,67.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepisleptospermoides,0.509090909090909,0.23636363636363636,0.2545454545454545,55.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisbuxoides,Piptolepismonticola,0.23728813559322035,0.3389830508474576,0.423728813559322,59.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisgardneri,Piptolepismonticola,0.359375,0.4375,0.203125,64.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisgardneri,Piptolepismonticola,0.37254901960784315,0.2549019607843137,0.37254901960784315,51.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisgardneri,Piptolepismonticola,0.47761194029850745,0.16417910447761194,0.3582089552238806,67.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisimbricata,Piptolepismonticola,0.3333333333333333,0.4166666666666667,0.25,60.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisimbricata,Piptolepismonticola,0.391304347826087,0.32608695652173914,0.2826086956521739,46.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisimbricata,Piptolepismonticola,0.4098360655737705,0.2786885245901639,0.3114754098360656,61.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepisimbricata,Piptolepismonticola,0.28846153846153844,0.5,0.21153846153846154,52.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepismonticola,0.26865671641791045,0.4626865671641791,0.26865671641791045,67.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepismonticola,0.35714285714285715,0.44642857142857145,0.19642857142857142,56.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisleptospermoides,Piptolepismonticola,0.36231884057971014,0.37681159420289856,0.2608695652173913,69.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisleptospermoides,Piptolepismonticola,0.39622641509433965,0.24528301886792453,0.3584905660377358,53.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisleptospermoides,Piptolepismonticola,0.4225352112676056,0.2112676056338028,0.36619718309859156,71.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepismonticola,0.45614035087719296,0.3157894736842105,0.22807017543859648,57.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepismonticola,0.36486486486486486,0.33783783783783783,0.2972972972972973,74.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepismonticola,0.43333333333333335,0.36666666666666664,0.2,60.0
Eremanthus_elaeagnus_E2875,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepismonticola,0.3392857142857143,0.2857142857142857,0.375,56.0
Piptolepis_ericoides,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepismonticola,0.25,0.2361111111111111,0.5138888888888888,72.0
Piptolepisbuxoides,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepismonticola,0.26785714285714285,0.26785714285714285,0.4642857142857143,56.0
Piptolepisgardneri,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepismonticola,0.28125,0.203125,0.515625,64.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisoleaster,0.29310344827586204,0.22413793103448276,0.4827586206896552,58.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisgardneri,Piptolepisoleaster,0.4,0.23333333333333334,0.36666666666666664,60.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisoleaster,0.24444444444444444,0.26666666666666666,0.4888888888888889,45.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisgardneri,Piptolepisoleaster,0.4576271186440678,0.2542372881355932,0.288135593220339,59.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisimbricata,Piptolepisoleaster,0.45161290322580644,0.24193548387096775,0.3064516129032258,62.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisimbricata,Piptolepisoleaster,0.32608695652173914,0.30434782608695654,0.3695652173913043,46.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisimbricata,Piptolepisoleaster,0.4576271186440678,0.2542372881355932,0.288135593220339,59.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepisimbricata,Piptolepisoleaster,0.32653061224489793,0.2857142857142857,0.3877551020408163,49.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepisoleaster,0.39344262295081966,0.39344262295081966,0.21311475409836064,61.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepisimbricata,Piptolepisoleaster,0.3333333333333333,0.39215686274509803,0.27450980392156865,51.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepisleptospermoides,Piptolepisoleaster,0.45454545454545453,0.13636363636363635,0.4090909090909091,66.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepisleptospermoides,Piptolepisoleaster,0.375,0.20833333333333334,0.4166666666666667,48.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepisleptospermoides,Piptolepisoleaster,0.47619047619047616,0.2698412698412698,0.25396825396825395,63.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepisoleaster,0.28846153846153844,0.28846153846153844,0.4230769230769231,52.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepisoleaster,0.3181818181818182,0.45454545454545453,0.22727272727272727,66.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepisleptospermoides,Piptolepisoleaster,0.35294117647058826,0.4117647058823529,0.23529411764705882,51.0
Eremanthus_elaeagnus_E2875,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepisoleaster,0.2909090909090909,0.2545454545454545,0.45454545454545453,55.0
Piptolepis_ericoides,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepisoleaster,0.3181818181818182,0.2878787878787879,0.3939393939393939,66.0
Piptolepisbuxoides,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepisoleaster,0.3333333333333333,0.19607843137254902,0.47058823529411764,51.0
Piptolepisgardneri,Piptolepisimbricata,Piptolepisleptospermoides,Piptolepisoleaster,0.2909090909090909,0.21818181818181817,0.4909090909090909,55.0
Eremanthus_elaeagnus_E2875,Piptolepis_ericoides,Piptolepismonticola,Piptolepisoleaster,0.3,0.2571428571428571,0.44285714285714284,70.0
Eremanthus_elaeagnus_E2875,Piptolepisbuxoides,Piptolepismonticola,Piptolepisoleaster,0.32653061224489793,0.3469387755102041,0.32653061224489793,49.0
Piptolepis_ericoides,Piptolepisbuxoides,Piptolepismonticola,Piptolepisoleaster,0.43548387096774194,0.3064516129032258,0.25806451612903225,62.0
Eremanthus_elaeagnus_E2875,Piptolepisgardneri,Piptolepismonticola,Piptolepisoleaster,0.23636363636363636,0.32727272727272727,0.43636363636363634,55.0
Piptolepis_ericoides,Piptolepisgardneri,Piptolepismonticola,Piptolepisoleaster,0.26865671641791045,0.417910447761194,0.31343283582089554,67.0
Piptolepisbuxoides,Piptolepisgardneri,Piptolepismonticola,Piptolepisoleaster,0.36538461538461536,0.3076923076923077,0.3269230769230769,52.0
Eremanthus_elaeagnus_E2875,Piptolepisimbricata,Piptolepismonticola,Piptolepisoleaster,0.30357142857142855,0.32142857142857145,0.375,56.0
Piptolepis_ericoides,Piptolepisimbricata,Piptolepismonticola,Piptolepisoleaster,0.3188405797101449,0.4057971014492754,0.2753623188405797,69.0
Piptolepisbuxoides,Piptolepisimbricata,Piptolepismonticola,Piptolepisoleaster,0.4528301886792453,0.2641509433962264,0.2830188679245283,53.0
Piptolepisgardneri,Piptolepisimbricata,Piptolepismonticola,Piptolepisoleaster,0.1724137931034483,0.46551724137931033,0.3620689655172414,58.0
Eremanthus_elaeagnus_E2875,Piptolepisleptospermoides,Piptolepismonticola,Piptolepisoleaster,0.16393442622950818,0.3442622950819672,0.4918032786885246,61.0
Piptolepis_ericoides,Piptolepisleptospermoides,Piptolepismonticola,Piptolepisoleaster,0.25675675675675674,0.43243243243243246,0.3108108108108108,74.0
Piptolepisbuxoides,Piptolepisleptospermoides,Piptolepismonticola,Piptolepisoleaster,0.375,0.32142857142857145,0.30357142857142855,56.0
