node_label	count0	count1	count2	topo0	topo1	topo2
QS1	70	0	0	((Albertinia_brasiliensis,Gorceixia_decurrens),(Blanchetiaheterotricha,Piptolepiscampestris));	((Albertinia_brasiliensis,Blanchetiaheterotricha),(Gorceixia_decurrens,Piptolepiscampestris));	((Albertinia_brasiliensis,Piptolepiscampestris),(Blanchetiaheterotricha,Gorceixia_decurrens));
QS2	100	0	0	((Blanchetiaheterotricha,Albertinia_brasiliensis),(Cololobus_rupestris_E2880,Lychnophoraalbertinioides));	((Blanchetiaheterotricha,Cololobus_rupestris_E2880),(Albertinia_brasiliensis,Lychnophoraalbertinioides));	((Blanchetiaheterotricha,Lychnophoraalbertinioides),(Cololobus_rupestris_E2880,Albertinia_brasiliensis));
QS3	67	0	18	((Eremanthus_auriculatus,Blanchetiaheterotricha),(Cololobus_rupestris_E2880,Vernonanthura_polyanthes_E2868));	((Eremanthus_auriculatus,Cololobus_rupestris_E2880),(Blanchetiaheterotricha,Vernonanthura_polyanthes_E2868));	((Eremanthus_auriculatus,Vernonanthura_polyanthes_E2868),(Cololobus_rupestris_E2880,Blanchetiaheterotricha));
QS4	53	16	1	((Cololobus_rupestris_E2880,Anteremanthushatschbachii),(Centratherum_punctatum,Piptocarpha_macropoda_E2871));	((Cololobus_rupestris_E2880,Centratherum_punctatum),(Anteremanthushatschbachii,Piptocarpha_macropoda_E2871));	((Cololobus_rupestris_E2880,Piptocarpha_macropoda_E2871),(Centratherum_punctatum,Anteremanthushatschbachii));
QS5	100	0	0	((Centratherum_punctatum,Gorceixia_decurrens),(Piptocarpha_macropoda_E2871,Pseudostiffita_kingii));	((Centratherum_punctatum,Piptocarpha_macropoda_E2871),(Gorceixia_decurrens,Pseudostiffita_kingii));	((Centratherum_punctatum,Pseudostiffita_kingii),(Piptocarpha_macropoda_E2871,Gorceixia_decurrens));
QS6	45	1	4	((Allocephalus_gamolepis,Minasiaalpestris),(Vernonanthura_polyanthes_E2868,Piptocarpha_macropoda_E2871));	((Allocephalus_gamolepis,Vernonanthura_polyanthes_E2868),(Minasiaalpestris,Piptocarpha_macropoda_E2871));	((Allocephalus_gamolepis,Piptocarpha_macropoda_E2871),(Vernonanthura_polyanthes_E2868,Minasiaalpestris));
QS7	50	0	5	((Piptocarpha_macropoda_E2871,Lychnophorauniflora),(Allocephalus_gamolepis,Pseudostiffita_kingii));	((Piptocarpha_macropoda_E2871,Allocephalus_gamolepis),(Lychnophorauniflora,Pseudostiffita_kingii));	((Piptocarpha_macropoda_E2871,Pseudostiffita_kingii),(Allocephalus_gamolepis,Lychnophorauniflora));
QS8	100	0	0	((Pseudostiffita_kingii,Gorceixia_decurrens),(Eremanthus_crotonoides,Anteremanthushatschbachii));	((Pseudostiffita_kingii,Eremanthus_crotonoides),(Gorceixia_decurrens,Anteremanthushatschbachii));	((Pseudostiffita_kingii,Anteremanthushatschbachii),(Eremanthus_crotonoides,Gorceixia_decurrens));
QS9	78	7	1	((Piptolepisbuxoides,Piptocarpha_macropoda_E2871),(Eremanthus_crotonoides,Hololepis_pedunculata));	((Piptolepisbuxoides,Eremanthus_crotonoides),(Piptocarpha_macropoda_E2871,Hololepis_pedunculata));	((Piptolepisbuxoides,Hololepis_pedunculata),(Eremanthus_crotonoides,Piptocarpha_macropoda_E2871));
QS10	45	10	4	((Eremanthus_crotonoides,Chronopappus_bifrons),(Anteremanthuspiranii,Hololepis_pedunculata));	((Eremanthus_crotonoides,Anteremanthuspiranii),(Chronopappus_bifrons,Hololepis_pedunculata));	((Eremanthus_crotonoides,Hololepis_pedunculata),(Anteremanthuspiranii,Chronopappus_bifrons));
QS11	55	18	7	((Anteremanthuspiranii,Cololobus_rupestris_E2880),(Heterocomalanuginosa,Lychnophora_haplopappa_cor));	((Anteremanthuspiranii,Heterocomalanuginosa),(Cololobus_rupestris_E2880,Lychnophora_haplopappa_cor));	((Anteremanthuspiranii,Lychnophora_haplopappa_cor),(Heterocomalanuginosa,Cololobus_rupestris_E2880));
QS12	64	17	7	((Lychnocephaluscipoensis,Cololobus_rupestris_E2880),(Heterocoma_ekmaniana,Anteremanthushatschbachii));	((Lychnocephaluscipoensis,Heterocoma_ekmaniana),(Cololobus_rupestris_E2880,Anteremanthushatschbachii));	((Lychnocephaluscipoensis,Anteremanthushatschbachii),(Heterocoma_ekmaniana,Cololobus_rupestris_E2880));
QS13	99	0	0	((Paralychnophoraatkinsiae,Piptolepispilosa),(Chronopappus_bifrons,Heterocoma_ekmaniana));	((Paralychnophoraatkinsiae,Chronopappus_bifrons),(Piptolepispilosa,Heterocoma_ekmaniana));	((Paralychnophoraatkinsiae,Heterocoma_ekmaniana),(Chronopappus_bifrons,Piptolepispilosa));
QS14	70	0	0	((Chronopappus_bifrons,Eremanthus_capitatus_E2873),(Heterocomalanuginosa,Heterocoma_ekmaniana));	((Chronopappus_bifrons,Heterocomalanuginosa),(Eremanthus_capitatus_E2873,Heterocoma_ekmaniana));	((Chronopappus_bifrons,Heterocoma_ekmaniana),(Heterocomalanuginosa,Eremanthus_capitatus_E2873));
QS15	39	0	55	((Chronopappus_bifrons,Centratherum_punctatum),(Anteremanthushatschbachii,Paralychnophoraglaziouana));	((Chronopappus_bifrons,Anteremanthushatschbachii),(Centratherum_punctatum,Paralychnophoraglaziouana));	((Chronopappus_bifrons,Paralychnophoraglaziouana),(Anteremanthushatschbachii,Centratherum_punctatum));
QS16	94	0	3	((Anteremanthushatschbachii,Lychnophora_santosii),(Lychnophora_morii,Paralychnophora_harleyi));	((Anteremanthushatschbachii,Lychnophora_morii),(Lychnophora_santosii,Paralychnophora_harleyi));	((Anteremanthushatschbachii,Paralychnophora_harleyi),(Lychnophora_morii,Lychnophora_santosii));
QS17	88	2	4	((Lychnophora_morii,Lychnophorasalicifolia),(Paralychnophora_harleyi,Maschalostachysmarkgrafii));	((Lychnophora_morii,Paralychnophora_harleyi),(Lychnophorasalicifolia,Maschalostachysmarkgrafii));	((Lychnophora_morii,Maschalostachysmarkgrafii),(Paralychnophora_harleyi,Lychnophorasalicifolia));
QS18	100	0	0	((Paralychnophoraglaziouana,Anteremanthuspiranii),(Paralychnophora_harleyi,Paralychnophoraatkinsiae));	((Paralychnophoraglaziouana,Paralychnophora_harleyi),(Anteremanthuspiranii,Paralychnophoraatkinsiae));	((Paralychnophoraglaziouana,Paralychnophoraatkinsiae),(Paralychnophora_harleyi,Anteremanthuspiranii));
QS19	56	33	0	((Paralychnophoraatkinsiae,Lychnophorasouzae),(Paralychnophoraglaziouana,Maschalostachysmarkgrafii));	((Paralychnophoraatkinsiae,Paralychnophoraglaziouana),(Lychnophorasouzae,Maschalostachysmarkgrafii));	((Paralychnophoraatkinsiae,Maschalostachysmarkgrafii),(Paralychnophoraglaziouana,Lychnophorasouzae));
QS20	6	44	27	((Maschalostachysmarkgrafii,Cololobus_rupestris_E2880),(Proteopisargentea,Piptolepispilosa));	((Maschalostachysmarkgrafii,Proteopisargentea),(Cololobus_rupestris_E2880,Piptolepispilosa));	((Maschalostachysmarkgrafii,Piptolepispilosa),(Proteopisargentea,Cololobus_rupestris_E2880));
QS21	76	17	1	((Proteopisargentea,Allocephalus_gamolepis),(Minasiascapigera,Eremanthushatschbachii));	((Proteopisargentea,Minasiascapigera),(Allocephalus_gamolepis,Eremanthushatschbachii));	((Proteopisargentea,Eremanthushatschbachii),(Minasiascapigera,Allocephalus_gamolepis));
QS22	100	0	0	((Piptolepisoleaster,Pseudostiffita_kingii),(Minasiaalpestris,Minasia_pereirae));	((Piptolepisoleaster,Minasiaalpestris),(Pseudostiffita_kingii,Minasia_pereirae));	((Piptolepisoleaster,Minasia_pereirae),(Minasiaalpestris,Pseudostiffita_kingii));
QS23	88	3	0	((Minasiaalpestris,Paralychnophora_harleyi),(Minasiascapigera,Minasiasplettiae));	((Minasiaalpestris,Minasiascapigera),(Paralychnophora_harleyi,Minasiasplettiae));	((Minasiaalpestris,Minasiasplettiae),(Minasiascapigera,Paralychnophora_harleyi));
QS24	0	9	60	((Minasiascapigera,Lychnophora_hatschbachii),(Minasia_pereirae,Minasiasplettiae));	((Minasiascapigera,Minasia_pereirae),(Lychnophora_hatschbachii,Minasiasplettiae));	((Minasiascapigera,Minasiasplettiae),(Minasia_pereirae,Lychnophora_hatschbachii));
QS25	76	3	7	((Minasia_pereirae,Paralychnophora_harleyi),(Piptolepisoleaster,Eremanthus_erythropappus));	((Minasia_pereirae,Piptolepisoleaster),(Paralychnophora_harleyi,Eremanthus_erythropappus));	((Minasia_pereirae,Eremanthus_erythropappus),(Piptolepisoleaster,Paralychnophora_harleyi));
QS26	44	3	32	((Lychnophora_brunonioides,Minasia_pereirae),(Lychnocephalustomentosus,Piptolepisschultziana));	((Lychnophora_brunonioides,Lychnocephalustomentosus),(Minasia_pereirae,Piptolepisschultziana));	((Lychnophora_brunonioides,Piptolepisschultziana),(Lychnocephalustomentosus,Minasia_pereirae));
QS27	76	11	3	((Piptolepispilosa,Eremanthus_crotonoides),(Presteliaeriopus,Lychnophoraalbertinioides));	((Piptolepispilosa,Presteliaeriopus),(Eremanthus_crotonoides,Lychnophoraalbertinioides));	((Piptolepispilosa,Lychnophoraalbertinioides),(Presteliaeriopus,Eremanthus_crotonoides));
QS28	96	1	1	((Presteliaeriopus,Piptolepispabstii),(Lychnophorasouzae,Lychnophoraalbertinioides));	((Presteliaeriopus,Lychnophorasouzae),(Piptolepispabstii,Lychnophoraalbertinioides));	((Presteliaeriopus,Lychnophoraalbertinioides),(Lychnophorasouzae,Piptolepispabstii));
QS29	100	0	0	((Lychnocephaluscipoensis,Eremanthus_crotonoides),(Lychnophorasouzae,Lychnophora_hatschbachii));	((Lychnocephaluscipoensis,Lychnophorasouzae),(Eremanthus_crotonoides,Lychnophora_hatschbachii));	((Lychnocephaluscipoensis,Lychnophora_hatschbachii),(Lychnophorasouzae,Eremanthus_crotonoides));
QS30	61	26	2	((Lychnophora_hatschbachii,Presteliaeriopus),(Lychnophoraalbertinioides,Lychnocephalustomentosus));	((Lychnophora_hatschbachii,Lychnophoraalbertinioides),(Presteliaeriopus,Lychnocephalustomentosus));	((Lychnophora_hatschbachii,Lychnocephalustomentosus),(Lychnophoraalbertinioides,Presteliaeriopus));
QS31	91	0	8	((Lychnophoraalbertinioides,Lychnophorella_leucodendron_cor),(Lychnocephalustomentosus,Lychnocephalusjolianus));	((Lychnophoraalbertinioides,Lychnocephalustomentosus),(Lychnophorella_leucodendron_cor,Lychnocephalusjolianus));	((Lychnophoraalbertinioides,Lychnocephalusjolianus),(Lychnocephalustomentosus,Lychnophorella_leucodendron_cor));
QS32	50	8	0	((Lychnocephalustomentosus,Allocephalus_gamolepis),(Lychnocephaluscipoensis,Lychnocephalusjolianus));	((Lychnocephalustomentosus,Lychnocephaluscipoensis),(Allocephalus_gamolepis,Lychnocephalusjolianus));	((Lychnocephalustomentosus,Lychnocephalusjolianus),(Lychnocephaluscipoensis,Allocephalus_gamolepis));
QS33	100	0	0	((Lychnocephalusjolianus,Albertinia_brasiliensis),(Piptolepisoleaster,Piptolepisleptospermoides));	((Lychnocephalusjolianus,Piptolepisoleaster),(Albertinia_brasiliensis,Piptolepisleptospermoides));	((Lychnocephalusjolianus,Piptolepisleptospermoides),(Piptolepisoleaster,Albertinia_brasiliensis));
QS34	46	31	3	((Piptolepisoleaster,Minasia_pereirae),(Piptolepispilosa,Piptolepispseudomyrtus));	((Piptolepisoleaster,Piptolepispilosa),(Minasia_pereirae,Piptolepispseudomyrtus));	((Piptolepisoleaster,Piptolepispseudomyrtus),(Piptolepispilosa,Minasia_pereirae));
QS35	70	4	10	((Piptolepispseudomyrtus,Vernonanthura_polyanthes_E2868),(Piptolepisriparia,Piptolepisglaziouana));	((Piptolepispseudomyrtus,Piptolepisriparia),(Vernonanthura_polyanthes_E2868,Piptolepisglaziouana));	((Piptolepispseudomyrtus,Piptolepisglaziouana),(Piptolepisriparia,Vernonanthura_polyanthes_E2868));
QS36	58	8	17	((Piptolepisriparia,Lychnophorasalicifolia),(Piptolepisglaziouana,Piptolepisleptospermoides));	((Piptolepisriparia,Piptolepisglaziouana),(Lychnophorasalicifolia,Piptolepisleptospermoides));	((Piptolepisriparia,Piptolepisleptospermoides),(Piptolepisglaziouana,Lychnophorasalicifolia));
QS37	34	26	15	((Piptolepisleptospermoides,Eremanthus_erythropappus),(Piptolepisimbricata,Piptolepisglaziouana));	((Piptolepisleptospermoides,Piptolepisimbricata),(Eremanthus_erythropappus,Piptolepisglaziouana));	((Piptolepisleptospermoides,Piptolepisglaziouana),(Piptolepisimbricata,Eremanthus_erythropappus));
QS38	12	4	68	((Piptolepisimbricata,Eremanthus_erythropappus),(Piptolepisleptospermoides,Piptolepiscorymbosa));	((Piptolepisimbricata,Piptolepisleptospermoides),(Eremanthus_erythropappus,Piptolepiscorymbosa));	((Piptolepisimbricata,Piptolepiscorymbosa),(Piptolepisleptospermoides,Eremanthus_erythropappus));
QS39	69	1	0	((Piptolepisleptospermoides,Paralychnophoraglaziouana),(Piptolepispilosa,Piptolepiscorymbosa));	((Piptolepisleptospermoides,Piptolepispilosa),(Paralychnophoraglaziouana,Piptolepiscorymbosa));	((Piptolepisleptospermoides,Piptolepiscorymbosa),(Piptolepispilosa,Paralychnophoraglaziouana));
QS40	8	39	36	((Piptolepisimbricata,Piptocarpha_macropoda_E2871),(Piptolepisgardneri,Piptolepismonticola));	((Piptolepisimbricata,Piptolepisgardneri),(Piptocarpha_macropoda_E2871,Piptolepismonticola));	((Piptolepisimbricata,Piptolepismonticola),(Piptolepisgardneri,Piptocarpha_macropoda_E2871));
QS41	60	11	11	((Piptolepismonticola,Gorceixia_decurrens),(Piptolepisprocumbens,Piptolepisgardneri));	((Piptolepismonticola,Piptolepisprocumbens),(Gorceixia_decurrens,Piptolepisgardneri));	((Piptolepismonticola,Piptolepisgardneri),(Piptolepisprocumbens,Gorceixia_decurrens));
QS42	52	10	0	((Piptolepisprocumbens,Albertinia_brasiliensis),(Piptolepiscampestris,Piptolepisgardneri));	((Piptolepisprocumbens,Piptolepiscampestris),(Albertinia_brasiliensis,Piptolepisgardneri));	((Piptolepisprocumbens,Piptolepisgardneri),(Piptolepiscampestris,Albertinia_brasiliensis));
QS43	67	0	18	((Piptolepiscampestris,Lychnocephalusjolianus),(Piptolepismonticola,Piptolepisbuxoides));	((Piptolepiscampestris,Piptolepismonticola),(Lychnocephalusjolianus,Piptolepisbuxoides));	((Piptolepiscampestris,Piptolepisbuxoides),(Piptolepismonticola,Lychnocephalusjolianus));
QS44	82	1	6	((Piptolepismonticola,Lychnophorellabishopii),(Piptolepisbuxoides,Piptolepisschultziana));	((Piptolepismonticola,Piptolepisbuxoides),(Lychnophorellabishopii,Piptolepisschultziana));	((Piptolepismonticola,Piptolepisschultziana),(Piptolepisbuxoides,Lychnophorellabishopii));
QS45	34	1	42	((Piptolepisbuxoides,Gorceixia_decurrens),(Piptolepisschultziana,Piptolepis_ericoides));	((Piptolepisbuxoides,Piptolepisschultziana),(Gorceixia_decurrens,Piptolepis_ericoides));	((Piptolepisbuxoides,Piptolepis_ericoides),(Piptolepisschultziana,Gorceixia_decurrens));
