treatment,No_of_taxa,Alignment_length,Missing_percent,Parsimony_informative_sites
total_noParalogs,50,390,59.723,8
total_noParalogs,5,483,44.72,20
total_noParalogs,6,228,1.096,3
total_noParalogs,23,252,19.41,37
total_noParalogs,12,237,1.899,17
total_noParalogs,50,387,35.132,43
total_noParalogs,40,283,23.171,61
total_noParalogs,51,171,5.607,5
total_noParalogs,11,180,10.455,10
total_noParalogs,15,620,7.387,53
total_noParalogs,46,444,42.318,39
total_noParalogs,51,444,6.134,45
total_noParalogs,37,539,27.779,32
total_noParalogs,6,213,9.155,8
total_noParalogs,13,441,7.64,20
total_noParalogs,3,225,24,0
total_noParalogs,44,189,6.674,31
total_noParalogs,41,291,4.652,40
total_noParalogs,11,282,11.315,58
total_noParalogs,13,243,8.832,6
total_noParalogs,13,351,19.461,16
total_noParalogs,5,456,9.342,4
total_noParalogs,13,270,7.009,53
total_noParalogs,6,279,6.989,8
total_noParalogs,4,174,13.362,1
total_noParalogs,5,567,22.116,40
total_noParalogs,8,216,2.083,8
total_noParalogs,3,171,0,0
total_noParalogs,30,489,15.971,83
total_noParalogs,28,323,8.149,33
total_noParalogs,10,303,6.238,24
total_noParalogs,41,213,3.263,14
total_noParalogs,33,276,6.028,34
total_noParalogs,42,474,57.309,32
total_noParalogs,8,1053,45.762,61
total_noParalogs,49,573,36.639,84
total_noParalogs,42,496,9.505,96
total_noParalogs,6,168,9.821,3
total_noParalogs,22,294,16.095,32
total_noParalogs,10,363,3.14,18
total_noParalogs,8,216,7.812,38
total_noParalogs,23,219,1.489,11
total_noParalogs,7,123,15.679,14
total_noParalogs,38,174,7.396,20
total_noParalogs,21,129,2.879,16
total_noParalogs,50,628,51.847,100
total_noParalogs,29,297,25.078,12
total_noParalogs,30,405,43.309,129
total_noParalogs,13,177,7.432,34
total_noParalogs,27,384,10.59,44
total_noParalogs,45,201,4.411,10
total_noParalogs,11,243,9.428,22
total_noParalogs,12,306,3.84,43
total_noParalogs,24,147,9.779,4
total_noParalogs,18,393,5.556,17
total_noParalogs,12,690,44.457,31
total_noParalogs,32,1001,49.248,57
total_noParalogs,16,282,4.787,18
total_noParalogs,9,255,7.712,8
total_noParalogs,34,270,16.471,34
total_noParalogs,36,1110,42.77,280
total_noParalogs,46,408,6.841,50
total_noParalogs,18,453,6.659,24
total_noParalogs,3,126,0,0
total_noParalogs,6,201,13.682,5
total_noParalogs,8,150,6.75,6
total_noParalogs,2,159,0,0
total_noParalogs,8,174,7.112,8
total_noParalogs,19,193,3.709,9
total_noParalogs,11,168,5.519,13
total_noParalogs,10,213,1.69,8
total_noParalogs,11,123,0.443,5
total_noParalogs,30,414,24.928,39
total_noParalogs,5,312,2.308,9
total_noParalogs,43,318,40.829,21
total_noParalogs,36,249,18.407,18
total_noParalogs,3,321,1.558,0
total_noParalogs,23,348,1.274,29
total_noParalogs,42,114,0,4
total_noParalogs,5,117,4.103,1
total_noParalogs,2,189,21.429,0
total_noParalogs,8,618,15.352,36
total_noParalogs,34,147,6.543,13
total_noParalogs,19,1118,51.925,139
total_noParalogs,17,271,5.058,25
total_noParalogs,2,90,1.667,0
total_noParalogs,17,210,0,10
total_noParalogs,38,126,0.815,13
total_noParalogs,13,117,0,3
total_noParalogs,2,132,0,0
total_noParalogs,12,292,18.664,58
total_noParalogs,36,156,1.335,7
total_noParalogs,31,363,9.437,87
total_noParalogs,46,360,9.076,79
total_noParalogs,6,444,32.883,54
total_noParalogs,5,279,37.204,3
total_noParalogs,2,591,19.289,0
total_noParalogs,32,609,23.137,110
total_noParalogs,13,210,0.989,12
total_noParalogs,48,1269,63.431,172
total_noParalogs,22,177,3.313,33
total_noParalogs,51,378,6.194,54
total_noParalogs,50,357,3.983,31
total_noParalogs,5,180,4.667,5
total_noParalogs,47,282,45.224,23
total_noParalogs,17,471,7.793,134
total_noParalogs,21,384,11.086,49
total_noParalogs,8,192,11.719,10
total_noParalogs,3,297,12.795,0
total_noParalogs,5,276,12.391,2
total_noParalogs,13,418,35.186,22
total_noParalogs,14,132,0.487,7
total_noParalogs,28,297,41.558,71
total_noParalogs,18,267,2.934,18
total_noParalogs,4,189,22.222,3
total_noParalogs,46,144,0.453,3
total_noParalogs,16,321,40.713,8
total_noParalogs,3,318,21.069,0
total_noParalogs,21,228,2.569,17
total_noParalogs,5,162,2.593,5
total_noParalogs,4,531,20.339,6
total_noParalogs,18,276,6.099,16
total_noParalogs,42,384,16.22,42
total_noParalogs,7,168,2.551,8
total_noParalogs,24,1243,48.24,129
total_noParalogs,21,378,37.528,39
total_noParalogs,16,519,4.66,43
total_noParalogs,28,126,6.973,13
total_noParalogs,7,414,11.801,15
total_noParalogs,10,204,0,16
total_noParalogs,25,1089,42.468,66
total_noParalogs,5,168,0,4
total_noParalogs,7,363,34.357,14
total_noParalogs,17,174,0.203,21
total_noParalogs,25,354,0.508,36
total_noParalogs,9,528,15.909,29
total_noParalogs,47,219,10.58,9
total_noParalogs,5,267,22.022,9
total_noParalogs,7,345,23.602,19
total_noParalogs,4,252,4.167,0
total_noParalogs,4,321,9.346,6
total_noParalogs,5,288,0.208,5
total_noParalogs,4,297,19.697,0
total_noParalogs,3,264,13.258,0
total_noParalogs,35,732,44.438,101
total_noParalogs,3,318,15.409,0
total_noParalogs,22,198,16.667,66
total_noParalogs,41,612,12.243,205
total_noParalogs,11,372,15.029,17
total_noParalogs,7,345,12.919,14
total_noParalogs,23,222,3.173,100
total_noParalogs,34,852,28.863,52
total_noParalogs,3,327,10.398,0
total_noParalogs,5,216,8.333,5
total_noParalogs,51,232,22.084,12
total_noParalogs,34,873,34.344,240
total_noParalogs,3,258,10.853,0
total_noParalogs,4,504,11.31,9
total_noParalogs,34,174,0.913,44
total_noParalogs,7,306,4.902,15
total_noParalogs,6,228,3.728,5
total_noParalogs,25,276,7.739,18
total_noParalogs,9,297,28.283,14
total_noParalogs,35,480,47.982,19
total_noParalogs,22,177,3.621,9
total_noParalogs,3,192,0.521,0
total_noParalogs,18,195,8.974,13
total_noParalogs,6,153,5.229,3
total_noParalogs,27,408,7.135,22
total_noParalogs,10,384,5,33
total_noParalogs,12,120,1.667,7
total_noParalogs,6,144,0,15
total_noParalogs,48,273,29.121,20
