treatment	No_of_taxa	Alignment_length	Parsimony_informative_sites	Missing_percent
withParalogs	72	739	149	59.021
withParalogs	71	453	73	39.11
withParalogs	50	390	8	59.723
withParalogs	69	450	25	49.121
withParalogs	70	483	30	49.166
withParalogs	73	845	167	38.419
withParalogs	70	483	62	48.279
withParalogs	6	228	3	1.096
withParalogs	70	134	14	14.382
withParalogs	72	255	63	21.83
withParalogs	72	237	45	0.457
withParalogs	70	636	101	55.478
withParalogs	60	387	44	35.22
withParalogs	71	909	105	40.213
withParalogs	69	261	27	11.628
withParalogs	73	498	83	44.141
withParalogs	40	283	61	23.171
withParalogs	58	177	11	8.591
withParalogs	71	828	113	42.534
withParalogs	72	180	28	2.917
withParalogs	72	504	67	10.45
withParalogs	72	623	92	4.414
withParalogs	72	406	78	12.233
withParalogs	72	576	86	3.61
withParalogs	66	590	112	42.196
withParalogs	46	444	39	42.318
withParalogs	71	444	47	10.287
withParalogs	69	396	36	9.146
withParalogs	73	545	45	19.46
withParalogs	71	213	39	3.055
withParalogs	72	441	40	1.767
withParalogs	63	225	36	1.27
withParalogs	72	873	170	55.952
withParalogs	46	189	53	6.384
withParalogs	69	291	44	2.958
withParalogs	72	282	104	3.96
withParalogs	70	243	26	1.799
withParalogs	72	467	27	56.469
withParalogs	72	783	151	46.823
withParalogs	67	408	36	38.093
withParalogs	71	324	13	53.365
withParalogs	72	456	219	0.804
withParalogs	73	726	63	21.674
withParalogs	71	255	138	15.128
withParalogs	73	422	123	27.011
withParalogs	61	720	62	58.19
withParalogs	72	414	58	2.023
withParalogs	72	547	39	28.07
withParalogs	71	332	59	44.892
withParalogs	69	492	83	45.537
withParalogs	72	279	55	4.152
withParalogs	73	189	35	11.198
withParalogs	71	396	40	17.83
withParalogs	73	567	191	50.692
withParalogs	72	821	255	24.898
withParalogs	72	216	19	0.231
withParalogs	67	526	96	25.626
withParalogs	71	171	42	0.025
withParalogs	72	489	125	9.56
withParalogs	72	323	45	3.702
withParalogs	69	303	46	0.961
withParalogs	71	472	64	40.165
withParalogs	72	213	25	2.093
withParalogs	68	288	47	6.909
withParalogs	65	484	47	56.182
withParalogs	69	445	56	52.389
withParalogs	72	966	144	39.657
withParalogs	73	573	92	33.587
withParalogs	63	189	19	30.184
withParalogs	73	496	111	6.151
withParalogs	61	339	67	44.088
withParalogs	73	865	119	57.317
withParalogs	72	168	28	0.843
withParalogs	70	486	88	42.76
withParalogs	71	294	42	5.246
withParalogs	72	363	77	2.181
withParalogs	68	216	56	1.144
withParalogs	71	219	27	0.733
withParalogs	62	279	33	8.585
withParalogs	7	123	14	15.679
withParalogs	71	522	166	14.643
withParalogs	67	174	29	5.584
withParalogs	67	129	18	2.326
withParalogs	50	628	100	51.847
withParalogs	72	1004	125	29.814
withParalogs	31	297	17	23.688
withParalogs	31	405	132	41.935
withParalogs	70	447	29	28.13
withParalogs	72	555	33	42.868
withParalogs	66	658	63	52.155
withParalogs	2	111	0	0
withParalogs	59	273	36	23.673
withParalogs	66	186	45	11.926
withParalogs	69	384	67	4.144
withParalogs	69	786	140	45.984
withParalogs	72	736	136	55.322
withParalogs	61	201	10	4.429
withParalogs	72	1093	163	67.059
withParalogs	71	456	48	25.834
withParalogs	70	360	44	33.94
withParalogs	71	601	84	24.021
withParalogs	68	426	34	55.623
withParalogs	70	264	47	1.055
withParalogs	71	306	69	0.98
withParalogs	68	147	7	10.054
withParalogs	67	342	44	0.694
withParalogs	73	393	68	1.715
withParalogs	72	511	43	44.007
withParalogs	72	606	87	70.325
withParalogs	71	572	63	27.844
withParalogs	73	1001	75	46.333
withParalogs	64	333	15	5.771
withParalogs	70	282	60	1.93
withParalogs	68	453	60	3.886
withParalogs	72	255	40	4.771
withParalogs	73	987	101	63.18
withParalogs	69	442	40	59.847
withParalogs	70	270	42	9.206
withParalogs	72	1110	316	39.077
withParalogs	64	255	35	48.199
withParalogs	72	281	77	35.024
withParalogs	72	408	62	4.473
withParalogs	73	453	54	1.724
withParalogs	72	867	262	40.167
withParalogs	72	528	39	47.412
withParalogs	71	198	18	32.949
withParalogs	71	129	14	2.096
withParalogs	72	663	93	51.269
withParalogs	70	462	82	7.189
withParalogs	73	579	91	11.562
withParalogs	6	201	5	13.682
withParalogs	72	558	51	59.282
withParalogs	72	840	129	47.401
withParalogs	71	321	43	4.949
withParalogs	72	150	17	0.861
withParalogs	72	324	34	7.33
withParalogs	70	551	57	35.349
withParalogs	66	754	97	56.583
withParalogs	73	616	113	51.212
withParalogs	69	159	38	0.137
withParalogs	69	315	20	15.569
withParalogs	71	174	20	0.898
withParalogs	72	441	37	2.343
withParalogs	73	979	137	72.266
withParalogs	72	193	16	3.649
withParalogs	67	168	57	1.626
withParalogs	67	412	46	16.599
withParalogs	72	213	15	0.469
withParalogs	71	123	9	0.069
withParalogs	70	414	46	24.337
