Alignment_name,No_of_taxa,Alignment_length,Parsimony_informative_sites,Missing_percent
phyluce68p,64,749,79,25.72
phyluce68p,52,619,56,12.514
phyluce68p,59,1030,99,35.782
phyluce68p,58,608,88,35.158
phyluce68p,65,995,93,22.899
phyluce68p,53,1143,115,48.367
phyluce68p,55,669,44,11.216
phyluce68p,60,875,98,11.192
phyluce68p,60,1578,106,59.562
phyluce68p,54,1226,112,53.101
phyluce68p,50,806,45,44.593
phyluce68p,56,1733,134,65.95
phyluce68p,57,936,73,12.982
phyluce68p,54,1182,111,46.824
phyluce68p,51,808,58,11.813
phyluce68p,54,2946,67,74.231
phyluce68p,58,693,86,18.99
phyluce68p,65,795,76,18.68
phyluce68p,59,1345,94,53.864
phyluce68p,53,2302,125,58.754
phyluce68p,65,602,77,20.281
phyluce68p,59,5132,181,80.806
phyluce68p,63,738,68,26.113
phyluce68p,60,1875,64,64.747
phyluce68p,61,467,50,14.575
phyluce68p,52,758,92,36.27
phyluce68p,60,1091,177,58.744
phyluce68p,60,1008,93,36.898
phyluce68p,51,695,108,18.386
phyluce68p,56,712,55,32.928
phyluce68p,55,1072,57,24.471
phyluce68p,57,1025,130,43.618
phyluce68p,53,1178,103,40.167
phyluce68p,56,1362,89,59.857
phyluce68p,52,610,46,35.388
phyluce68p,56,656,98,19.281
phyluce68p,50,1357,105,23.433
phyluce68p,60,945,98,43.975
phyluce68p,58,847,76,34.973
phyluce68p,55,1112,102,51.373
phyluce68p,57,779,121,29.721
phyluce68p,65,969,43,44.137
phyluce68p,54,947,52,41.812
phyluce68p,54,1002,70,20.679
phyluce68p,65,904,121,27.064
phyluce68p,62,1025,95,35.629
phyluce68p,59,1378,91,30.417
phyluce68p,64,536,74,12.512
phyluce68p,62,1302,93,43.339
phyluce68p,68,753,97,19.76
phyluce68p,58,969,115,19.811
phyluce68p,59,1536,144,47.54
phyluce68p,50,943,71,10.78
phyluce68p,63,1028,110,46.671
phyluce68p,52,883,95,25.666
phyluce68p,50,1235,124,44.617
phyluce68p,62,1233,127,50.438
phyluce68p,58,2462,99,72.551
phyluce68p,57,1001,102,38.812
phyluce68p,67,749,80,20.923
phyluce68p,60,1035,84,39.451
phyluce68p,56,856,58,13.182
phyluce68p,60,1042,73,40.723
phyluce68p,60,720,64,21.181
phyluce68p,63,835,89,18.831
phyluce68p,63,933,126,25.817
phyluce68p,57,705,32,15.974
phyluce68p,53,742,135,36.23
phyluce68p,58,1638,98,67.896
phyluce68p,57,989,77,25.959
phyluce68p,52,944,126,25.65
phyluce68p,60,4102,87,76.745
phyluce68p,59,1233,133,55.03
phyluce68p,60,1335,114,55.82
phyluce68p,55,1423,80,46.064
phyluce68p,62,1034,55,41.461
phyluce68p,50,868,146,48.452
phyluce68p,61,789,150,26.163
phyluce68p,59,846,92,23.406
phyluce68p,53,1628,301,33.602
phyluce68p,62,702,79,25.28
phyluce68p,55,1574,78,64.182
phyluce68p,61,570,54,13.808
phyluce68p,63,886,115,24.72
phyluce68p,61,737,127,20.293
phyluce68p,58,2066,66,74.149
phyluce68p,57,839,88,22.755
phyluce68p,56,906,107,24.732
phyluce68p,56,1118,174,45.854
phyluce68p,62,1142,117,61.566
phyluce68p,57,1093,151,39.324
phyluce68p,61,1158,85,52.005
phyluce68p,58,2156,78,74.703
phyluce68p,59,816,95,16.939
phyluce68p,62,1110,50,43.184
phyluce68p,63,619,44,9.957
phyluce68p,57,847,111,30.518
phyluce68p,68,1952,160,66.243
phyluce68p,50,822,73,25.287
phyluce68p,54,868,76,39.704
phyluce68p,60,752,78,17.074
phyluce68p,61,2098,64,79.489
phyluce68p,52,1369,123,24.277
phyluce68p,54,1255,91,54.703
phyluce68p,62,1095,76,43.319
phyluce68p,60,6566,144,89.781
phyluce68p,56,679,66,14.041
phyluce68p,57,843,53,14.312
phyluce68p,59,630,71,12.717
phyluce68p,63,1103,65,37.392
phyluce68p,59,732,61,23.567
phyluce68p,55,886,112,39.111
phyluce68p,58,744,103,22.627
phyluce68p,62,873,70,15.061
