treatment,No_of_taxa,Alignment_length,Parsimony_informative_sites,Missing_percent
phyluce,3,493,0,4.733
phyluce,5,478,11,10.586
phyluce,64,749,79,25.72
phyluce,4,377,0,17.971
phyluce,10,440,19,23.205
phyluce,6,375,17,8.044
phyluce,15,600,45,14.489
phyluce,6,547,30,15.57
phyluce,4,495,2,16.01
phyluce,52,619,56,12.514
phyluce,22,469,47,16.195
phyluce,16,491,21,25.484
phyluce,6,947,53,7.726
phyluce,3,384,0,18.75
phyluce,8,910,38,35.027
phyluce,59,1030,99,35.782
phyluce,8,467,43,19.325
phyluce,3,700,0,17.571
phyluce,5,597,10,17.186
phyluce,5,322,0,12.112
phyluce,36,1728,99,13.747
phyluce,4,403,0,3.846
phyluce,5,1101,38,25.468
phyluce,13,529,15,16.403
phyluce,9,358,27,19.646
phyluce,58,608,88,35.158
phyluce,12,393,16,7.443
phyluce,3,472,0,15.819
phyluce,16,945,75,28.241
phyluce,65,995,93,22.899
phyluce,53,1143,115,48.367
phyluce,34,738,57,18.46
phyluce,33,360,32,15.412
phyluce,8,380,22,11.151
phyluce,18,1109,45,15.194
phyluce,5,577,3,18.891
phyluce,55,669,44,11.216
phyluce,8,306,39,5.596
phyluce,20,753,59,32.039
phyluce,60,875,98,11.192
phyluce,7,261,10,39.792
phyluce,3,348,0,7.184
phyluce,3,1001,0,19.58
phyluce,60,1578,106,59.562
phyluce,13,840,24,9.689
phyluce,25,625,59,7.354
phyluce,30,793,57,37.961
phyluce,3,554,0,12.635
phyluce,7,496,7,2.967
phyluce,3,1387,0,6.825
phyluce,42,804,81,9.781
phyluce,23,960,96,49.108
phyluce,54,1226,112,53.101
phyluce,48,1037,142,14.915
phyluce,50,806,45,44.593
phyluce,16,773,29,25.21
phyluce,3,368,0,15.217
phyluce,26,1547,66,21.021
phyluce,56,1733,134,65.95
phyluce,6,465,19,18.315
phyluce,37,2048,190,34.343
phyluce,8,727,49,21.131
phyluce,9,411,14,24.574
phyluce,7,350,23,4.49
phyluce,9,351,11,8.325
phyluce,57,936,73,12.982
phyluce,15,1661,47,24.965
phyluce,54,1182,111,46.824
phyluce,4,1719,5,9.482
phyluce,51,808,58,11.813
phyluce,49,1096,107,41.848
phyluce,15,1253,52,45.634
phyluce,11,316,32,22.929
phyluce,27,1783,87,15.729
phyluce,47,1403,178,50.055
phyluce,12,504,63,14.864
phyluce,4,715,2,7.343
phyluce,54,2946,67,74.231
phyluce,4,318,1,10.063
phyluce,6,369,10,8.13
phyluce,6,373,9,12.109
phyluce,3,424,0,2.987
phyluce,4,564,22,7.402
phyluce,3,454,0,10.94
phyluce,5,471,16,13.631
phyluce,6,280,23,14.464
phyluce,3,542,0,15.744
phyluce,3,434,0,16.82
phyluce,13,535,10,27.218
phyluce,3,203,0,35.632
phyluce,4,1048,22,16.317
phyluce,20,764,88,23.384
phyluce,58,693,86,18.99
phyluce,31,2684,95,41.678
phyluce,4,356,25,24.228
phyluce,65,795,76,18.68
phyluce,59,1345,94,53.864
phyluce,14,1110,78,18.822
phyluce,11,489,65,16.546
phyluce,11,612,8,32.041
phyluce,31,639,73,24.448
phyluce,53,2302,125,58.754
phyluce,32,834,32,15.059
phyluce,3,836,0,17.743
phyluce,65,602,77,20.281
phyluce,59,5132,181,80.806
phyluce,42,1033,125,27.991
phyluce,63,738,68,26.113
phyluce,4,424,1,17.512
phyluce,60,1875,64,64.747
phyluce,4,354,2,6.003
phyluce,7,371,9,10.82
phyluce,3,1816,0,20.631
phyluce,15,418,18,8.246
phyluce,6,345,31,10.773
phyluce,3,718,0,41.643
phyluce,49,1400,82,22.052
phyluce,61,467,50,14.575
phyluce,3,969,0,19.195
phyluce,4,1492,0,16.136
phyluce,4,386,1,2.202
phyluce,52,758,92,36.27
phyluce,60,1091,177,58.744
phyluce,60,1008,93,36.898
phyluce,3,1509,0,2.872
phyluce,4,320,7,0.078
phyluce,51,695,108,18.386
phyluce,56,712,55,32.928
phyluce,3,1017,0,15.995
phyluce,3,392,0,21.599
phyluce,3,522,0,15.262
phyluce,55,1072,57,24.471
phyluce,6,1072,38,14.397
phyluce,57,1025,130,43.618
phyluce,17,405,47,11.111
phyluce,13,977,42,15.078
phyluce,10,911,24,51.767
phyluce,4,408,8,17.096
phyluce,44,647,64,18.024
phyluce,18,1783,65,28.753
phyluce,4,306,4,6.699
phyluce,53,1178,103,40.167
phyluce,46,1731,111,34.455
phyluce,11,469,35,16.554
phyluce,12,570,33,8.933
phyluce,5,762,0,37.507
phyluce,11,818,24,10.58
phyluce,32,2517,130,45.225
phyluce,56,1362,89,59.857
phyluce,52,610,46,35.388
phyluce,56,656,98,19.281
phyluce,6,795,18,23.166
phyluce,10,987,25,54.671
phyluce,3,764,0,14.18
phyluce,50,1357,105,23.433
phyluce,60,945,98,43.975
phyluce,24,620,89,28.125
phyluce,4,556,8,9.577
phyluce,3,623,0,6.581
phyluce,58,847,76,34.973
