t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,0.24390243902439024,0.573170731707317,0.18292682926829268,82.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,0.21686746987951808,0.3855421686746988,0.39759036144578314,83.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_erythropappus,Eremanthus_incanus,0.13793103448275862,0.21839080459770116,0.6436781609195402,87.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_incanus,0.32941176470588235,0.17647058823529413,0.49411764705882355,85.0
Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_incanus,0.1625,0.5125,0.325,80.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,0.2631578947368421,0.3157894736842105,0.42105263157894735,76.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_erythropappus,Eremanthus_reticulatus_E2876,0.2054794520547945,0.1917808219178082,0.6027397260273972,73.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_reticulatus_E2876,0.32,0.25333333333333335,0.4266666666666667,75.0
Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_reticulatus_E2876,0.2361111111111111,0.5694444444444444,0.19444444444444445,72.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.3972602739726027,0.3287671232876712,0.273972602739726,73.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.4605263157894737,0.3684210526315789,0.17105263157894737,76.0
Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.5068493150684932,0.3150684931506849,0.1780821917808219,73.0
Eremanthus_auriculatus,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.44871794871794873,0.38461538461538464,0.16666666666666666,78.0
Eremanthus_capitatus_E2873,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.6338028169014085,0.22535211267605634,0.14084507042253522,71.0
Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_reticulatus_E2876,0.5616438356164384,0.1917808219178082,0.2465753424657534,73.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_uniflorus_E2874,0.1511627906976744,0.7441860465116279,0.10465116279069768,86.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_erythropappus,Eremanthus_uniflorus_E2874,0.1927710843373494,0.6385542168674698,0.1686746987951807,83.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_uniflorus_E2874,0.5581395348837209,0.22093023255813954,0.22093023255813954,86.0
Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_uniflorus_E2874,0.18072289156626506,0.20481927710843373,0.6144578313253012,83.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.1411764705882353,0.7176470588235294,0.1411764705882353,85.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.38372093023255816,0.38372093023255816,0.23255813953488372,86.0
Eremanthus_capitatus_E2873,Eremanthus_elaeagnus_E2875,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.15294117647058825,0.16470588235294117,0.6823529411764706,85.0
Eremanthus_auriculatus,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.16666666666666666,0.6666666666666666,0.16666666666666666,84.0
Eremanthus_capitatus_E2873,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.18518518518518517,0.20987654320987653,0.6049382716049383,81.0
Eremanthus_elaeagnus_E2875,Eremanthus_erythropappus,Eremanthus_incanus,Eremanthus_uniflorus_E2874,0.3048780487804878,0.47560975609756095,0.21951219512195122,82.0
Eremanthus_auriculatus,Eremanthus_capitatus_E2873,Eremanthus_reticulatus_E2876,Eremanthus_uniflorus_E2874,0.0625,0.7875,0.15,80.0
Eremanthus_auriculatus,Eremanthus_elaeagnus_E2875,Eremanthus_reticulatus_E2876,Eremanthus_uniflorus_E2874,0.2804878048780488,0.4146341463414634,0.3048780487804878,82.0
