treatment,support values,node number
Astral 68p,0.81,1
Astral 68p,0.38,2
Astral 68p,1,3
Astral 68p,0.85,4
Astral 68p,0.91,5
Astral 68p,1,6
Astral 68p,0.62,7
Astral 68p,0.99,8
Astral 68p,0.48,9
Astral 68p,0.96,10
Astral 68p,1,11
Astral 68p,1,12
Astral 68p,0.52,13
Astral 68p,1,14
Astral 68p,0.9,15
Astral 68p,0.46,16
Astral 68p,1,17
Astral 68p,0.8,18
Astral 68p,0.95,19
Astral 68p,1,20
Astral 68p,0.62,21
Astral 68p,0.85,22
Astral 68p,0.96,23
Astral 68p,0.53,24
Astral 68p,1,25
Astral 68p,1,26
Astral 68p,0.69,27
Astral 68p,0.78,28
Astral 68p,0.57,29
Astral 68p,0.52,30
Astral 68p,1,31
Astral 68p,1,32
Astral 68p,1,33
Astral 68p,1,34
Astral 68p,1,35
Astral 68p,0.38,36
Astral 68p,0.82,37
Astral 68p,0.96,38
Astral 68p,0.95,39
Astral 68p,1,40
Astral 68p,0.69,41
Astral 68p,0.98,42
Astral 68p,0.98,43
Astral 68p,1,44
Astral 68p,1,45
Astral 68p,0.89,46
Astral 68p,0.51,47
Astral 68p,0.83,48
Astral 68p,1,49
Astral 68p,0.67,50
Astral 68p,0.99,51
Astral 68p,0.35,52
Astral 68p,0.6,53
Astral 68p,0.62,54
Astral 68p,0.8,55
Astral 68p,0.84,56
Astral 68p,0.82,57
Astral 68p,0.49,58
Astral 68p,0.61,59
Astral 68p,0.51,60
Astral 68p,0.55,61
Astral 68p,0.51,62
Astral 68p,0.68,63
Astral 68p,1,64
Astral 68p,1,65
Astral 68p,0.96,66
Astral 68p,1,67
Astral 68p,0.5,68
Astral 68p,1,69
Astral 68p,1,70
Astral 68p bs10,0.81,1
Astral 68p bs10,0.39,2
Astral 68p bs10,1,3
Astral 68p bs10,0.83,4
Astral 68p bs10,0.92,5
Astral 68p bs10,1,6
Astral 68p bs10,0.91,7
Astral 68p bs10,0.98,8
Astral 68p bs10,0.56,9
Astral 68p bs10,0.99,10
Astral 68p bs10,1,11
Astral 68p bs10,1,12
Astral 68p bs10,0.61,13
Astral 68p bs10,1,14
Astral 68p bs10,0.84,15
Astral 68p bs10,1,16
Astral 68p bs10,0.61,17
Astral 68p bs10,0.63,18
Astral 68p bs10,0.98,19
Astral 68p bs10,1,20
Astral 68p bs10,0.61,21
Astral 68p bs10,0.9,22
Astral 68p bs10,0.99,23
Astral 68p bs10,0.93,24
Astral 68p bs10,0.71,25
Astral 68p bs10,1,26
Astral 68p bs10,1,27
Astral 68p bs10,0.99,28
Astral 68p bs10,1,29
Astral 68p bs10,0.47,30
Astral 68p bs10,1,31
Astral 68p bs10,0.59,32
Astral 68p bs10,0.9,33
Astral 68p bs10,0.7,34
Astral 68p bs10,0.7,35
Astral 68p bs10,0.47,36
Astral 68p bs10,0.9,37
Astral 68p bs10,0.33,38
Astral 68p bs10,0.99,39
Astral 68p bs10,0.78,40
Astral 68p bs10,0.62,41
Astral 68p bs10,0.77,42
Astral 68p bs10,0.9,43
